{ r: 3, n: 12, det_states: 3018, det_time: 11, me_states: 1860, me_time: 7  }
{ r: 4, n: 12, det_states: 743, det_time: 8, me_states: 584, me_time: 5  }
{ r: 4, n: 12, det_states: 2782, det_time: 25, me_states: 1470, me_time: 14  }
{ r: 4, n: 12, det_states: 3327, det_time: 29, me_states: 2332, me_time: 20  }
{ r: 4, n: 12, det_states: 3873, det_time: 35, me_states: 2443, me_time: 22  }
{ r: 4, n: 12, det_states: 8349, det_time: 83, me_states: 3455, me_time: 34  }
{ r: 4, n: 12, det_states: 8217, det_time: 80, me_states: 3828, me_time: 38  }
{ r: 4, n: 12, det_states: 9597, det_time: 92, me_states: 3696, me_time: 37  }
{ r: 5, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 12, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 12, det_states: 34, det_time: 0, me_states: 34, me_time: 0  }
{ r: 5, n: 12, det_states: 22, det_time: 0, me_states: 22, me_time: 0  }
{ r: 5, n: 12, det_states: 4260, det_time: 48, me_states: 4039, me_time: 45  }
{ r: 5, n: 12, det_states: 4496, det_time: 50, me_states: 4068, me_time: 46  }
{ r: 5, n: 12, det_states: 9824, det_time: 163, me_states: 4130, me_time: 74  }
{ r: 3, n: 12, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 13, det_states: 1024, det_time: 4, me_states: 947, me_time: 3  }
{ r: 3, n: 13, det_states: 1558, det_time: 7, me_states: 1193, me_time: 5  }
{ r: 3, n: 13, det_states: 1830, det_time: 10, me_states: 1320, me_time: 6  }
{ r: 3, n: 13, det_states: 2284, det_time: 10, me_states: 1541, me_time: 7  }
{ r: 3, n: 13, det_states: 2696, det_time: 11, me_states: 1726, me_time: 7  }
{ r: 3, n: 13, det_states: 4884, det_time: 22, me_states: 2810, me_time: 12  }
{ r: 4, n: 13, det_states: 87, det_time: 2, me_states: 87, me_time: 0  }
{ r: 4, n: 13, det_states: 1352, det_time: 13, me_states: 1352, me_time: 12  }
{ r: 4, n: 13, det_states: 3526, det_time: 36, me_states: 3046, me_time: 30  }
{ r: 4, n: 13, det_states: 9481, det_time: 116, me_states: 4289, me_time: 59  }
{ r: 4, n: 13, det_states: 11158, det_time: 136, me_states: 4746, me_time: 68  }
{ r: 4, n: 13, det_states: 23717, det_time: 255, me_states: 8146, me_time: 88  }
{ r: 4, n: 13, det_states: 34180, det_time: 398, me_states: 9471, me_time: 124  }
{ r: 5, n: 13, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 13, det_states: 8, det_time: 0, me_states: 8, me_time: 0  }
{ r: 5, n: 13, det_states: 11, det_time: 1, me_states: 11, me_time: 0  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 4, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 4, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 3, n: 3, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 3, n: 4, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 3, n: 4, det_states: 2, det_time: 0, me_states: 2, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
